Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
West Rouge Kindergarten Extended Care Program,401 Friendship Ave   (East Ave / Kirkdene Drive)     , Scarborough-Rouge Park,Sanaa Maher, 416-475-6230
Westside Montessori School,57 Sylvan Ave     , Davenport,Liz Bovey, 647-400-6521
Westside Montessori School,95 Bellevue Ave     , University-Rosedale,Liz Girvan, 647-430-5321
Wexford Community Childcare Centre,1 Wayne Ave   (Warden / Lawrence)     , Scarborough Centre,Denise Hosannah, 416-759-1965
Wexford Extended Day And School Age Program,1050 Pharmacy Ave   (Victoria Park /Lawrence Ave E)     , Scarborough Centre,Mary Gatti, 416-429-6194
Weybourne School,54 Lawrence Ave E   (Yonge St/Lawrence Ave E)     , Don Valley West,Sue Park, 416-917-8030
Whitney Child Centre,119 Rosedale Heights Dr   (Mount Pleasant / St. Clair)     , University-Rosedale,Rory Vale, 416-481-0211
William Burgess Jr YMCA,100 Torrens Ave   (Pape / O'Connor)     , Toronto-Danforth,Joanne Tsoulamanis, 416-423-5518
William G. Davis Kindergarten Extended Care Program,128 East Ave   (East Ave / Lawrence Ave)     , Scarborough-Rouge Park,Sanaa Maher, 416-287-0007
William G. Miller School Age YMCA,60 Bennett Rd   (Lawrence / Bennett)     , Scarborough-Rouge Park,Felicia Bryan, 416-724-1925
Williamson Road Day Care Centre,24 Williamson Rd   (Queen / Lee)     , Beaches-East York,Anna Zizzari, 416-691-8861
Willowbrae Academy Bayview Village,432 Sheppard Ave E   (Sheppard Ave E/Bayview Ave)     , Willowdale,Yuan Johnny Gao, 647-620-6661
Willowbrae Academy Etobicoke,4975 Dundas St W   (Dundas St W/Cabot Ct)     , Etobicoke-Lakeshore,Laurie Newman, 647-508-0444
"Willow Park Junior Public School, Extended Day Program",45 Windover Dr   (Lawrence Ave E & Scarb Golf Rd)     , Scarborough-Guildwood,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Willowridge Early Learning & Child Care Centre,30 Earldown Dr   (Martingrove / Eglinton Ave. W.)     , Etobicoke North,Ann Atkinson, 416-392-5086
Wilmington Best Child Care Centre,330 Wilmington Ave   (Finch / Wilmington)     , York Centre,Teresa Tomassi, 416-633-2665
Wilmington Best Schoolage Satellite Centre,"285 Wilmington Ave ,104   (Finch / Wilmington)     ", York Centre,Teresa Tomassi, 416-633-2665
Winchester Site Day Care (Central Neighbourhood House),15 Prospect St   (Parliament / Wellesley)     , Toronto Centre,Laura Szinegh, 416-389-1972
Windermere Early Learning Centre,103 The Queensway   (The Queensway/Windermere Ave)     , Parkdale-High Park,Sophia Creary, 416-763-2734
Windermere Kids Inc.,356 Windermere Ave   (Jane & Bloor)     , Parkdale-High Park,Jennifer Ciccarelli, 416-761-9772
Withrow Child Care Centre,25 Bain Ave   (Broadview / Danforth)     , Toronto-Danforth,Mary To, 416-463-1457
Woodbine Early Learning & Child Care Centre,700 Milverton Blvd   (Danforth / Woodbine)     , Beaches-East York,Telccs Woodbine Supervisor, 416-392-2257
Woodgreen Community Service (Morse Child Care Centre),180 Carlaw Ave   (Queen/Carlaw)     , Toronto-Danforth,Jessica Wong, 416-645-6000 ext 1158
Woodgreen Community Services (Enderby Child Care),118 Enderby Rd   (Main / Gerrard)     , Beaches-East York,Jessica Wong, 416-645-6000 ext 1158
Woodgreen Community Services (Leslieville Child Care),254 Leslie St   (Dundas / Leslie)     , Toronto-Danforth,Jessica Wong, 416-645-6000 ext 1158
Woodgreen Community Services (Riverdale Child Care),1094 Gerrard St E   (Gerrard / Leslie)     , Toronto-Danforth,Jessica Wong, 416-645-6000 ext 1158
Woodgreen Community Services (The)(Debbie Yeung Child Care Centre),249 Cosburn Ave   (Donlands / Cosburn)     , Toronto-Danforth,Jessica Wong, 416-645-6000 ext 1158
Woodgreen Community Services (Woodfield Child Care Centre),70 Woodfield Rd   (Coxwell / Queen)     , Toronto-Danforth,Jessica Wong, 416-645-6000 ext 1158
Woodland Nursery School (Warden Woods Community Centre),1 Firvalley Crt   (Warden / St. Clair)     , Scarborough Southwest,Rasha Alshareef, 416-694-1138 ext 163
Wychwood Tigers Daycare Centre,44 Hilton Ave   (St. Clair W. / Bathurst)     , Toronto-St. Paul's,Rana Saeed, 416-532-1841
Yeshivat Yesodei Hatora,77 Glen Rush Blvd     , Eglinton-Lawrence,Binyomin Septon, 416-787-1101 ext 231
Yes I Can Nursery School,25 Old York Mills Rd     , Don Valley West,Jessica Similien, 416-486-4911
YMCA Child Development Centre (YMCA),15 Breadalbane St   (Yonge / Wellesley)     , Toronto Centre,Gaea Gunn-Moghimi, 416-513-1164
YMCA Of Greater Toronto - St Augustine,98 Shoreham Dr     , Humber River-Black Creek,Melissa Brown, 647-945-7310
Yonge-Churchill Child Care Centre,5350 Yonge St   (Yonge & Sheppard)     , Willowdale,Jessica Burchat, 416-221-4747
Yonge Hearts Child Care Centre,5176 Yonge St   (Yonge / Finch)     , Willowdale,June Karim, 416-730-8898
York Humber Child Care,100 Emmett Ave   (Eglinton W. / Jane)     , York South-Weston,Sabrina Sowkey, 416-241-5534
York Mills Child Care Centre,1200 York Mills Rd   (York Mills / Dvp)     , Don Valley East,Najma Jabeen, 416-449-9453
Yorktown Montessori School,349 Kenneth Ave   (Yonge / Finch)     , Willowdale,Grace Park, 416-226-6932
York University Co-Operative Day Care Centre,"90 Atkinson Rd ,Rm 128   (Finch / Keele)     ", Humber River-Black Creek,Mabel Davis, 416-736-5190 ext 33273
Yorkview Kids Care,130 Yorkview Dr   (Bathurst / Finch)     , Willowdale,Ruth Barber, 416-221-7656
YWCA Bergamot Early Learning,66 Bergamot Ave   (Islington Ave. / Rexdale Blvd.)     , Etobicoke North,Karen Hipson, 416-748-8179 ext 310
